aaosarxi   F	  24481	     16	   57.2	    619	-1.8475	  7.6032e-01  3.3713e+01  1.8988e+01  3.4486e+00 -1.2481e+01  9.2265e+01  2.0071e+00  4.4435e-04  2.0826e+05  2.0832e+05
aborbien   F	  83668	     23	   60.3	    374	-1.6891	  8.9288e-01  1.2150e-01  5.6529e+01  9.1011e+00 -3.6644e+01  1.2233e+02  2.5095e+00  2.1980e-04  6.5094e+05  6.5100e+05
abrabram   F	 191710	     16	  511.3	  66194	-3.4518	  2.2547e-01  3.7076e+01  5.1345e+01  3.8129e+00 -4.0508e+02  5.4679e+02  1.2820e+01  9.6750e-02 -1.8413e+02  8.8163e+02  1.1352e+00  2.5837e-05  3.0536e+06  3.0537e+06
abruprec   F	 131915	     29	  228.2	   7352	-2.9844	  3.6816e-01  3.4037e+01  5.8093e+01  3.2295e+00 -7.4226e+01  3.6141e+02  1.5401e+00  5.2002e-01 -3.2365e+02  9.8310e+02  3.5379e+00  4.5826e-05  1.8128e+06  1.8129e+06
absiglau   F	  53197	     41	   65.4	    748	-1.8755	  8.4390e-01 -5.4264e+01  1.1435e+02  1.3960e+01 -1.3241e+01  1.1447e+02  1.8073e+00  3.1799e-04  4.5965e+05  4.5972e+05
absipade   F	  60787	     23	   72.0	    438	-1.8943	  8.8957e-01 -2.5249e+02  3.1867e+02  2.8491e+01 -3.6705e+01  1.3596e+02  2.4553e+00  2.1002e-04  5.3043e+05  5.3050e+05
absirepe   F	  63079	     23	   81.9	    492	-1.9585	  9.2451e-01 -2.1758e+01  9.7204e+01  7.2472e+00 -6.9827e+01  1.7164e+02  2.2604e+00  1.9599e-04  5.6866e+05  5.6872e+05
acaccras   F	  83795	     16	  241.5	   9949	-2.9956	  4.3527e-01  4.6567e+01  4.8712e+01  2.2852e+00 -4.4327e+02  7.7627e+02  3.7955e+00  4.0344e-01  3.3153e+02  5.3061e+02  1.1952e+00  5.7511e-05  1.1561e+06  1.1562e+06
acan_eba   F	    289	     58	   94.8	    418	-2.1154	  6.4214e-09  2.9071e+00  6.7943e+01  3.5235e+00  2.2170e+01  6.4508e+01  2.9178e+00  5.3754e-03  2.8290e+03  2.8547e+03
acancast   F	  89938	     23	   94.0	    480	-2.1621	  7.7167e-02  9.1000e+00  4.3698e+01  1.2939e+00  9.0630e+00  7.6931e+01  3.5361e+00  1.3939e-04  8.9572e+05  8.9579e+05
acanchlo   F	 114994	     29	  870.0	  37384	-3.6306	  1.0398e-01  5.9383e+01  3.8559e+01  1.3050e+00 -1.7669e+02  9.0049e+02  1.3907e+00  2.9329e-05  1.9226e+06  1.9227e+06
acanflam   F	  47807	     16	  945.0	  54498	-3.7007	  6.3892e-02  6.1270e+01  3.4354e+01  1.5715e+00 -1.5482e+02  8.9620e+02  1.2723e+00  4.8694e-05  8.1523e+05  8.1529e+05
acanhaem   F	  41794	     17	  850.3	  47433	-3.5585	  1.6785e-01 -1.8088e+01  9.6433e+01  1.2497e+01 -6.7100e+01  1.9292e+02  4.6129e+00  9.0515e-02 -2.4703e+02  1.1712e+03  1.3479e+00  5.8338e-05  6.8544e+05  6.8553e+05
acanlage   F	  32201	     16	  205.2	 295209	-3.2682	  3.3502e-01 -1.9285e+02  2.7232e+02  3.0000e+01  3.2489e+01  1.1506e+02  1.6651e+00  2.4851e-01 -7.3782e+01  1.1464e+03  7.9556e-01  8.6672e-05  4.8426e+05  4.8435e+05
acanlatu   F	 280456	     29	  413.9	  57170	-3.3899	  1.6222e-01  4.2841e+01  4.8677e+01  3.8474e+00  5.2302e+01  1.1491e+02  9.7963e-01  3.8315e-01 -1.2759e+02  9.8506e+02  1.1561e+00  1.8492e-05  4.3751e+06  4.3752e+06
