aaosarxi	F_As	  28843	   16	   74.6	    711	-1.8984	 0.7325	  33.46	  19.37	 3.4322	 -11.07	  94.72	 1.9553	     3.4618e-04	     2.5213e+05	     2.5219e+05
acancast	O_Am	  89038	   16	  118.4	    403	-2.1687	 0.0486	 -55.37	  89.91	 5.9479	  17.70	  68.44	 3.0341	     1.8812e-04	     8.8932e+05	     8.8938e+05
acanchlo	M_Av	 114782	   29	 1812.1	  39084	-3.6222	 0.0974	  54.73	  43.22	 1.5527	-150.37	 842.39	 1.3521	     3.1489e-05	     1.9192e+06	     1.9193e+06
acanvite	M_Ne	  80270	   16	  347.0	   2329	-2.8016	 0.3254	  41.73	  72.33	 1.2557	-213.95	 430.26	 3.8111	     9.1095e-05	     1.0357e+06	     1.0358e+06
acidrich	F_As	  18147	   17	   77.7	    622	-1.9575	 0.6979	   1.57	  54.43	 8.4630	 -44.53	 127.10	 2.4706	     3.3826e-04	     1.6362e+05	     1.6368e+05
acinjuba	M_Mm	 158180	   30	 4050.6	 203456	-3.9609	 0.1662	  65.20	  64.09	 0.7784	-186.43	1425.12	 1.0436	     2.0602e-05	     2.8864e+06	     2.8865e+06
acrestri	F_As	  27220	   17	   72.6	    913	-1.8495	 0.8458	  29.33	  26.25	 3.8564	  -2.92	 104.73	 1.5737	     3.7492e-04	     2.3178e+05	     2.3183e+05
acrodigi	M_Cn	 134071	   20	 1117.9	  31373	-3.4562	 0.0649	  13.36	  73.90	 4.6707	 -46.53	 498.65	 1.2619	     5.1272e-05	     2.1224e+06	     2.1225e+06
acroechi	M_In	  76570	   31	  949.1	 163884	-3.2924	 0.2258	-2617.5	2695.53	237.069	  21.17	 272.18	 0.7873	     4.6331e-05	     1.1632e+06	     1.1632e+06
acyrpisu	M_In	 179567	   16	  882.2	  92014	-3.0820	 0.4402	-2636.4	2705.34	243.155	 -14.43	 465.85	 0.8917	     1.1268e-04	     2.5301e+06	     2.5302e+06
acytsubg	O_Am	  22585	   29	   87.7	    549	-1.9039	 0.9003	-105.43	 176.04	16.9943	-187.31	 331.84	 3.7213	     3.9120e-04	     1.9817e+05	     1.9823e+05
aedeaegy	M_In	 120276	   16	 6349.0	  74950	-3.4113	 0.4213	-192.94	 254.01	47.4691	   4.25	 806.19	 0.4943	     6.7378e-05	     1.8596e+06	     1.8597e+06
agarbisp	F_Ba	  53380	   16	   60.4	    665	-1.5903	 0.8902	  -9.52	  61.93	13.5735	   0.89	  72.99	 1.3880	     3.0606e-04	     3.9065e+05	     3.9072e+05
agarhyph	F_Ba	  43348	   17	   60.1	    206	-1.4333	 0.9458	  11.28	  42.48	10.3282	 -49.85	 123.49	 3.1994	     7.4645e-04	     2.8583e+05	     2.8589e+05
ailumela	M_Mm	 190361	   17	 3803.9	 209726	-3.9413	 0.1829	  65.78	  58.67	 0.7683	-176.53	1385.69	 1.0286	     1.9138e-05	     3.4488e+06	     3.4489e+06
albucand	O_St	  20137	   16	   63.3	   1087	-1.8146	 0.7721	-172.16	 224.76	45.8179	 -14.66	  91.39	 1.5299	     6.8842e-04	     1.6824e+05	     1.6830e+05
albulaib	O_St	  20079	   17	   62.2	   2449	-1.7764	 0.8881	-730.42	 782.87	136.763	-161.84	 415.87	 1.6795	     6.4997e-04	     1.6442e+05	     1.6448e+05
allimiss	M_Rp	 185851	   30	 3751.0	 193331	-3.9731	 0.1435	  67.12	  67.30	 0.7214	-186.81	1423.65	 1.0661	     1.8128e-05	     3.3848e+06	     3.3848e+06
allisine	M_Rp	 181237	   30	 3723.7	 184436	-3.9767	 0.1263	  65.21	  64.09	 0.8150	-186.43	1425.12	 1.0690	     1.8685e-05	     3.2985e+06	     3.2985e+06
altealte	F_As	  26981	   20	   67.9	    621	-1.8202	 0.7496	  33.79	  17.18	 3.6186	 -10.19	  91.84	 2.0258	     6.3152e-04	     2.2620e+05	     2.2626e+05
altebras	F_As	  17748	   27	  109.0	   1580	-2.1415	 0.5092	   3.03	  47.50	11.9563	 -10.98	  97.61	 1.6416	     5.8113e-04	     1.7494e+05	     1.7500e+05
amanmusc	F_Ba	  60818	   16	   57.1	    462	-1.4795	 0.9083	 -38.92	  89.78	23.0939	   3.27	  54.64	 1.3545	     3.4668e-04	     4.1381e+05	     4.1387e+05
amanthie	F_Ba	  78992	   16	   64.7	    387	-1.7114	 0.8593	  27.36	  25.56	 4.5077	 -30.77	 105.49	 2.4138	     3.2927e-04	     6.2230e+05	     6.2236e+05
amarhypo	P_Eu	  99043	   20	  978.8	   7230	-3.1324	 0.3781	  48.12	  43.17	 2.3503	-723.21	1303.78	 2.6654	     5.9814e-05	     1.4454e+06	     1.4454e+06
ambotric	P_Am	  82359	   21	 1268.9	  48768	-3.3897	 0.3730	  42.63	  64.60	 1.8509	-162.19	 799.31	 1.1734	     4.1757e-05	     1.2858e+06	     1.2859e+06
amnilign	F_As	  29924	   16	   74.0	    735	-1.9028	 0.6452	  16.72	  34.17	 8.0085	  -9.40	  86.53	 1.9772	     3.2688e-04	     2.6242e+05	     2.6248e+05
amorresi	F_As	  20068	   18	   75.4	    599	-1.8988	 0.7702	  36.11	  15.69	 2.7012	 -51.84	 149.97	 2.6067	     4.3175e-04	     1.7560e+05	     1.7565e+05
amphquee	M_Po	 225902	   16	  218.5	   5133	-2.5096	 0.4360	 -49.51	  98.60	16.5670	 -16.83	 154.25	 1.3458	     9.9477e-05	     2.6129e+06	     2.6130e+06
amyetran	M_In	  85305	   17	 1287.7	  43218	-3.5035	 0.0408	  12.19	  69.77	 7.8205	 -26.70	 487.79	 1.1715	     5.1372e-05	     1.3787e+06	     1.3788e+06
anancomo	P_Mo	 124658	   16	  720.7	  10636	-3.1491	 0.2967	  42.96	  49.63	 2.6261	-243.83	 632.47	 1.7374	     6.3521e-05	     1.8041e+06	     1.8042e+06
anasplat	M_Av	 166994	   29	 2790.3	 137954	-3.8380	 0.0722	  54.08	  43.42	 1.8289	-102.40	 950.77	 1.0487	     1.8204e-05	     2.9502e+06	     2.9502e+06
ancycani	M_Ne	 156379	   16	  355.6	  11658	-2.6664	 0.4754	  37.08	  22.63	 2.6839	 -12.74	 209.29	 1.1560	     1.5664e-04	     1.9215e+06	     1.9215e+06
ancyceyl	M_Ne	 201928	   42	  653.1	  10793	-2.8950	 0.6642	  46.43	  19.69	 0.9469	-672.90	1450.63	 2.2332	     1.3730e-04	     2.6952e+06	     2.6952e+06
ancyduod	M_Ne	 105752	   16	  391.8	   5591	-2.7772	 0.5606	  45.05	  18.42	 1.2088	-270.20	 614.48	 2.0355	     1.6565e-04	     1.3453e+06	     1.3454e+06
angicant	M_Ne	  47798	   16	  680.3	   5867	-2.9613	 0.5144	  39.31	  31.97	 1.3360	-832.58	1317.15	 2.8740	     1.2021e-04	     6.6489e+05	     6.6495e+05
angicost	M_Ne	  40656	   16	  720.5	   6586	-2.9835	 0.5127	  42.31	  28.44	 1.1716	-823.86	1323.96	 2.7684	     1.2199e-04	     5.6985e+05	     5.6991e+05
angodean	O_Eu	      2	  841	  832.0	     17	-3.5202	 0.2133	-150.28	 393.13	 1.8174	-7374.7	8498.69	13.1097	     4.9959e-01	     4.4319e+01	     3.5171e+01
anissimp	M_Ne	  66373	   16	  347.2	   2941	-2.8306	 0.3165	  23.65	  89.00	 1.2094	-216.79	 421.70	 3.7164	     1.1586e-04	     8.6578e+05	     8.6584e+05
anolcaro	M_Rp	 153034	   22	 3733.4	 116646	-3.9780	 0.1315	  72.61	  72.00	 0.6448	-385.49	1825.98	 1.2998	     1.8486e-05	     2.8056e+06	     2.8057e+06
anopalbi	M_In	     80	   16	  329.0	  11090	-2.7436	 0.5634	 -22.49	  98.30	 7.4285	  20.72	 326.88	 1.2673	     1.3235e-02	     9.8843e+02	     1.0051e+03
anopdarl	M_In	  37365	   17	  486.5	   5858	-2.6061	 0.6432	   2.67	  70.00	 6.0746	-2355.4	3032.17	 4.2758	     1.4542e-04	     4.6490e+05	     4.6496e+05
anopgamb	M_In	  83754	   17	  566.1	 193367	-2.8438	 0.5234	-124.76	 197.66	19.4240	   7.93	 270.10	 0.6925	     7.2322e-05	     1.1054e+06	     1.1055e+06
anopglab	M_In	    598	   48	 1880.5	 192919	-3.2652	 0.6416	  47.37	  29.28	 0.5556	-662.97	1461.27	 1.5659	     2.0203e-03	     9.1724e+03	     9.2031e+03
anopsine	M_In	  23063	   18	  622.6	 171072	-2.7758	 0.5383	-126.48	 196.14	23.9959	  12.43	 276.96	 0.7034	     1.1643e-04	     2.9841e+05	     2.9846e+05
ansecygn	M_Av	 176868	   25	 2824.9	 148710	-3.8437	 0.0835	  55.03	  43.62	 1.5919	 -77.83	 947.90	 1.0302	     1.7065e-05	     3.1297e+06	     3.1298e+06
anthavoc	F_As	  36067	   16	   98.0	    785	-2.1156	 0.6526	  36.79	  20.69	 2.3243	 -35.55	 118.84	 2.2073	     3.0972e-04	     3.5142e+05	     3.5148e+05
